id	cat	full_name	bio_desc
oily_fish_intake	nutra	Oily Fish Consumption	"Frequency of eating fatty fish like salmon, mackerel, or sardines. Rich in omega-3s, supporting heart and brain health."
omega_3_fatty_acids	meta	Omega-3 Fatty Acids	"Essential polyunsaturated fats found in fish and some plants. Reduce inflammation, support heart and brain health, lower risk of chronic diseases."
omega_6_fatty_acids	meta	Omega-6 Fatty Acids	Essential fats found in vegetable oils and nuts. Important for cell structure and metabolism; excess intake relative to omega-3s may promote inflammation.
omega_6_to_omega_3_ratio	meta	Omega-6 to Omega-3 Ratio	Balance of omega-6 to omega-3 fatty acids in the diet. High ratio is linked to increased inflammation and risk of chronic disease.
phenylalanine	meta	Phenylalanine	Essential amino acid needed for protein synthesis and neurotransmitter production. High levels can be harmful in phenylketonuria (PKU).
plaur	prot	PLAUR	"Plasminogen Activator, Urokinase Receptor, involved in breaking down blood clots and tissue remodeling."
polyunsaturated_fatty_acids	meta	Polyunsaturated Fatty Acids	"Fats found in fish, nuts, and seeds. Includes omega-3 and omega-6 fatty acids, essential for health and inflammation regulation."
poultry_intake	life	Poultry Consumption	Self-reported frequency of eating chicken or turkey. Poultry is a source of lean protein and other nutrients.
rbc	cbc	Red Blood Cell Count	Number of red blood cells in blood. Low RBC can indicate anemia; high levels may occur in dehydration or certain diseases.
rdw	cbc	Red Cell Distribution Width (RDW)	Measures variation in red blood cell size. High RDW can indicate mixed types of anemia or other blood disorders.
red_wine_intake	life	Red Wine Consumption	Frequency of drinking red wine. Moderate intake may have heart benefits; excess increases risk for liver disease and cancer.
resting_heartrate	basic	Resting Heart Rate	Number of heartbeats per minute at rest. Lower rates generally indicate better cardiovascular fitness.
salt_added_to_food	life	Salt Added to Food	Frequency of adding salt to meals. High salt intake is linked to high blood pressure and increased risk of heart disease and stroke.
saturated_fatty_acids	meta	Saturated Fatty Acids	Fats found in animal products and some plant oils. High intake is associated with increased cholesterol and heart disease risk.
selenium_supplement	nutra	Selenium Supplement	"Provides selenium, a trace mineral important for antioxidant defense, thyroid function, and immune health."
shbg	adv	Sex Hormone-Binding Globulin (SHBG)	"Protein that binds sex hormones (testosterone, estrogen) in blood, regulating their availability to tissues."
spirits_intake	life	Spirits Consumption	"Intake of distilled alcoholic beverages (vodka, gin, whiskey, etc.). High consumption increases risk for liver disease, cancer, and other health problems."
systolic_blood_pressure	basic	Systolic Blood Pressure	"Top number in a blood pressure reading, representing pressure in arteries when the heart beats. High levels are a major risk factor for heart disease and stroke."
testosterone	adv	Testosterone	"Main male sex hormone, important for muscle mass, bone density, and reproductive health. Abnormal levels affect mood, energy, and sexual function."
tnfrsf10b	prot	TNFRSF10B	"Tumor Necrosis Factor Receptor Superfamily Member 10B, a protein involved in cell death signaling."
total_fatty_acids	meta	Total Fatty Acids	"Sum of all fatty acids in the blood, reflecting dietary fat intake and metabolism."
triglycerides	lipid	Triglycerides	Main form of fat in the blood. High levels are linked to increased risk of heart disease and pancreatitis.
tyrosine	meta	Tyrosine	Amino acid used to make proteins and neurotransmitters like dopamine and norepinephrine.
urate	adv	Uric Acid (Urate)	Waste product from breakdown of purines in food. High levels can cause gout and kidney stones.
urea	adv	Urea	"Waste product formed from protein breakdown, filtered by kidneys. High levels can indicate kidney dysfunction."
vitamin_a_supplement	nutra	Vitamin A Supplement	"Provides vitamin A, essential for vision, immune function, and skin health."
vitamin_b_supplement	nutra	Vitamin B Complex Supplement	"Contains a mix of B vitamins (B1, B2, B3, B6, B12, etc.), important for energy metabolism, nerve function, and red blood cell formation."
vitamin_c_supplement	nutra	Vitamin C Supplement	"Provides vitamin C, an antioxidant important for immune health, collagen formation, and iron absorption."
vitamin_d	adv	Vitamin D Level	"Fat-soluble vitamin produced in skin with sun exposure and obtained from diet. Essential for bone health, immune function, and reducing risk of chronic diseases."
vitamin_d_supplement	nutra	Vitamin D Supplement	"Supplement form of vitamin D, used to maintain healthy bones and immune system, especially in people with low sun exposure or absorption issues."
vitamin_e_supplement	nutra	Vitamin E Supplement	"Provides vitamin E, an antioxidant that protects cells from damage and supports immune health."
vitamins	nutra	General Vitamin Supplement	Supplement providing a mix of essential vitamins for overall health and to prevent deficiencies.
waist_circumference	basic	Waist Circumference	"Measurement around the abdomen. High values indicate abdominal obesity, a strong risk factor for metabolic syndrome, diabetes, and heart disease."
water_intake	life	Water Intake	"Self-reported amount of water consumed daily. Adequate hydration is essential for all bodily functions, including temperature regulation, kidney health, and cognitive performance."
wbc	cbc	White Blood Cell Count	"Total number of white blood cells in blood, reflecting immune system activity and response to infection or inflammation."
wfdc2	prot	WFDC2	"WAP Four-Disulfide Core Domain Protein 2 (HE4), used as a biomarker for ovarian cancer and other conditions."
zinc_supplement	nutra	Zinc Supplement	"Provides zinc, an essential mineral for immune function, wound healing, and DNA synthesis."
