id	menu_name	bio_desc
lpa	Lipoprotein a	Lipoprotein (a) is a type of LDL (low-density lipoprotein) or "bad" cholesterol. Lipoproteins are particles made of protein and fats (lipids). They carry cholesterol through your bloodstream to your cells. These lipoproteins carry cholesterol to the cells in your arteries. If you have high levels of LDL particles, cholesterol can build up in your arteries and form blockages called plaques. This condition is known as atherosclerosis or "hardening of the arteries." It can lead many serious medical conditions including coronary artery disease (narrow or blocked arteries in your heart), heart attack, stroke, peripheral arterial disease (blocked arteries in your legs or arms), or other blood vessel diseases. Lipoprotein (a) particles are stickier than other types of LDL particles, so they may be more likely to cause blockages and blood clots in your arteries. As a result, high levels of lipoprotein (a) may mean you have a very high risk for heart disease, stroke, and other serious conditions related to blockages and blood clots in your arteries. A lipoprotein (a) blood test gives you a more accurate understanding of your risk than a routine cholesterol tests only measuring your total LDL cholesterol level. This is because a routine cholesterol test may show your LDL cholesterol level is "healthy," but if a large percentage of your LDL cholesterol is carried by lipoprotein (a) particles, your risk for heart disease and stroke could still be high.
lymphocyte_percentage	Lymphocyte %	The lymphocyte percent test, part of a Complete Blood Count (CBC), measures the proportion of lymphocytes among white blood cells, providing insight into immune system health. High lymphocyte percentages can indicate viral infections, chronic infections, autoimmune diseases, or certain cancers, while low percentages may suggest acute infections, immunodeficiencies, autoimmune diseases, or bone marrow disorders. This test helps diagnose and monitor conditions related to immune function and inflammation.
lymphocytes	Lymphocyte Count	Lymphocyte Count is part of a complete blood count (CBC) and measures lymphocytes, a type of white blood cell important for immune response. It can be elevated by infections or immune conditions and lowered by certain diseases or treatments. A CBC is a group of blood tests measuring the number and size of the different cells in your blood.
mcv	MCV	Mean Corpuscular Volume (MCV) is part of a complete blood count (CBC). A CBC is a common blood test measuring many parts of your blood, including red blood cells. An MCV blood test measures the average size of your red blood cells. Red blood cells carry oxygen from your lungs to every cell in your body. Your cells need oxygen to grow, reproduce, and stay healthy. If your red blood cells are too small or too large, it could be a sign of a blood disorder such as anemia, a lack of certain vitamins, or other medical conditions.
monocytes	Monocyte Count	Monocyte Count is part of a complete blood count (CBC) and measures type of white blood cell that helps fight infection. Abnormal monocyte counts can be seen in infections, autoimmune diseases, or bone marrow disorders. A CBC is a group of blood tests measuring the number and size of the different cells in your blood.
neutrophils	Neutrophil Count	Neutrophil Count is part of a complete blood count (CBC) and measures a type of white blood cell that helps fight infection. Neutrophil count is part of a CBC and can be elevated in bacterial infections or reduced in conditions affecting bone marrow. A CBC is a group of blood tests measuring the number and size of the different cells in your blood.
rbc	RBC	Red Blood Cell Count (RBC) measures the number of red blood cells, also known as erythrocytes, in your blood. Red blood cells are made in your bone marrow, the spongy tissue inside your large bones. They contain hemoglobin, an iron-rich protein that carries oxygen from your lungs to every cell in your body. Your cells need oxygen to grow, reproduce, and make energy for you to function. An RBC count higher or lower than normal is often the first sign of an illness.
rdw	RDW	Red Blood Cell Distribution Width (RDW) is a measurement of how much the volume and size of your red blood cells (erythrocytes) vary. Red blood cells are made in your bone marrow (the spongy tissue inside your large bones). They contain hemoglobin, an iron-rich protein that carries oxygen from your lungs to every cell in your body. Your cells need oxygen to grow, reproduce, and make energy for you to function. Normally, your red blood cells are about the same size. Differences in the size of your red blood cells may affect how well they can deliver oxygen through your body. An RDW test uses a special graph called a histogram. If your red blood cells are about the same size, they will be close together on the histogram, and the RDW will be low. A high RDW means the size of your red blood cells varies more than it should. The sizes will be more spread out on the histogram. This may be a sign of a medical condition.
resting_heartrate	Pulse Rate	Pulse Rate (or resting heart rate) measures the number of times your heart beats per minute at rest. It provides information on heart health and can vary with activity, stress, and health conditions. Resting heart rate gives insights into cardiovascular fitness and overall health, with lower rates often indicating better fitness and higher rates suggesting potential stress, dehydration, or heart conditions. Sudden changes also may signal early health issues like infection or thyroid changes.
shbg	SHBG	SHBG (sex hormone binding globulin) is a protein made mostly in your liver. It binds (attaches) to sex hormones in your blood. SHBG helps control the amount of sex hormones that are actively working in your body. When the SHBG protein binds to sex hormones, your tissues can't use those hormones. Your tissues can only use sex hormones that are "free," which means they aren't attached to proteins, such as SHBG. An SHBG test is usually done if you have signs and/or symptoms of having too much or too little of the sex hormone testosterone. Testosterone is known as a "male" sex hormone, but females have testosterone in smaller amounts. In adult males, testosterone controls sex drive, maintains muscle mass, and helps make sperm. In adult females, testosterone is important for healthy organs and the growth of bones and muscles. Measuring SHBG levels provides information about how much of your testosterone is active in the tissues of your body.
systolic_blood_pressure	Systolic Blood Pressure	Systolic Blood Pressure is the top number in a blood pressure reading. It indicates the pressure in the arteries when the heart beats. Each time your heart beats, it pumps blood into your arteries (the blood vessels that carry blood from your heart to the tissues and organs in your body). A blood pressure measurement is a test measuring the force (pressure) in your arteries as your heart pumps. Blood pressure is measured as two numbers: systolic and diastolic blood pressure.
testosterone	Testosterone	Testosterone is known as a "male" sex hormone, but females have testosterone in smaller amounts. Testosterone is made by the testicles (or testes), the part of the male reproductive system that makes sperm; the ovaries, the part of the female reproductive system that makes eggs; the adrenal glands, organs on top of each kidney that make several hormones. During male puberty, testosterone causes body hair, muscle growth, and a deepening voice. In adult life, it controls sex drive, maintains muscle mass, and helps make sperm. In females, testosterone is important for the growth of bones and muscles, and healthy organs. There are different forms of testosterone in your blood that may be measured to help diagnose certain health problems. Most of your testosterone is attached to proteins. The proteins prevent your tissues from using the testosterone right away, which helps control the amount of "active" testosterone in your body. Testosterone not attached to proteins is called free testosterone. Free testosterone acts on your tissues.
triglycerides	Triglycerides	Triglycerides is the amount of a fat in your blood called triglycerides. High triglycerides may increase your risk for a heart attack or stroke. Your body uses triglycerides for energy. If you eat more calories than you need, your body turns the extra calories into triglycerides and stores them in your fat cells to use later. When your body needs energy, your cells release triglycerides into your bloodstream to provide fuel for your muscles to work. If you eat more calories than you burn off, especially calories from carbohydrates, including sugary foods, and fats, you may have high triglyceride levels in your blood. A high blood triglyceride level usually doesn't cause any acute symptoms, but over time, may affect your arteries and pancreas and increase your risk of heart disease and pancreatitis.
urate	Urate	Urate (also known as Uric Acid) is a normal waste product your body makes when it breaks down chemicals called purines. Purines come from your cells when they die. Purines also are found in many foods and beverages. Most uric acid dissolves in your blood. Your kidneys filter the uric acid out of your blood, and it leaves your body in your urine. If uric acid builds up in your blood, it can form needle-shaped crystals in and around your joints. This condition is called gout. Gout is a type of arthritis causing painful swelling in your joints. High uric acid levels also can cause kidney stones, or kidney failure. However, not everyone with high levels of uric acid will have these problems.
urea	Urea	Urea is a waste product created when the liver breaks down proteins, and it is filtered by the kidneys and excreted in urine. Urea levels help indicate kidney and liver function, and abnormal results may signal health concerns in these areas.
vitamin_d	Vitamin D	Vitamin D is essential for healthy bones and teeth, and for your body to work well. It also helps keep your muscles, nerves, and immune system working normally. Having low levels of vitamin D is a common problem that can lead to bone disorders and other medical problems. Vitamin D testing can let you know if you need to increase your vitamin D levels. You get vitamin D in three ways. Your body makes vitamin D when your bare skin is exposed to sunlight. You get vitamin D from certain foods. Only a few foods, such as egg yolks and fatty fish, naturally contain vitamin D. That's why vitamin D is added to foods, including breakfast cereals, milk, and other dairy items. You can take vitamin D supplements.
wbc	WBC	White Blood Cell (WBC) Count (also called leukocytes) is a measurement of your white blood cells, which are part of your immune system. They are a type of blood cell made in your bone marrow and found in your blood and lymph tissue (part of your immune system). If you are injured or get sick, the white blood cells travel through your bloodstream and tissues to where they are needed. There, they help your body fight off infections and other diseases. When you get sick, your body makes more white blood cells to fight the bacteria, viruses, or other foreign substances causing your illness. This increases your white blood count. Some diseases can cause your body to make fewer white blood cells than you need. This lowers your white blood count. Diseases can lower your white blood count include some types of cancer and HIV, a viral disease that attacks white blood cells. Certain medicines, including chemotherapy, also may lower the number of your white blood cells. There are five major types of white blood cells: Neutrophils, Lymphocytes, Monocytes, Eosinophils, and Basophils.
